강좌검색,,,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2025학년도,   학기 : 겨울학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,재학생장바구니신청,신입생장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,공과대학,,석박사통합,0,M2177.005500,001,글로벌 공학기술 교류 특강 1,미세유체 시스템과 바이오메디컬 응용,1,1,0,월(10:00~10:50)/화(10:00~10:50)/금(10:00~10:50),이론/이론/이론,38-422(무선랜제공)/38-422(무선랜제공)/38-422(무선랜제공),강준호,13,13,0,30 (30),17,"ⓔ 1월 16일, 19일, 20일 3일간 단기집중강좌",영어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3500.003300,001,(공유)데이터베이스,,3,3,0,월(10:00~12:50)/수(10:00~12:50)/금(10:00~12:50),이론/이론/이론,/ /,문길래,32,32,0,60 (60),48,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3500.002200,001,(공유)딥 러닝,,3,3,0,월(15:00~17:50)/수(15:00~17:50)/목(15:00~17:50),이론/이론/이론,/ /,김남준,22,22,0,10 (10),10,ⓒ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3502.002200,001,(공유)디지털논리회로,,3,3,0,수(12:00~14:50)/목(12:00~14:50)/금(12:00~14:50),이론/이론/이론,/ /,김상호,3,3,0,30 (30),14,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3502.016000,001,(공유)그린바이오 현미경 실습,,2,1,2,,,,허진회,12,12,0,20 (20),16,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3502.000200,001,(공유)반도체 장비의 이해,,3,3,0,월(09:00~11:50)/화(09:00~11:50)/수(09:00~11:50),이론/이론/이론,/ /,이재학,14,14,0,50 (50),37,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3502.010600,001,(공유)역사 GIS 중급 연습,,1,1,0,목(15:00~17:50),이론,,엄기석,14,14,0,30 (30),17,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3502.014800,001,(공유)멀티모달데이터처리,,3,3,0,월(14:00~16:50)/화(14:00~16:50)/수(14:00~16:50),이론/이론/이론,/ /,김응희,15,15,0,50 (50),24,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3502.002500,001,(공유)반도체집적공정,,3,3,0,화(12:00~14:50)/목(12:00~14:50)/금(12:00~14:50),이론/이론/이론,301-106(무선랜제공)/301-106(무선랜제공)/301-106(무선랜제공),강대웅,6,6,0,30 (30),22,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3502.015500,001,(공유)목질계 바이오매스 전환 기술,,3,3,0,,,,곽효원,18,18,0,40 (40),21,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3502.017000,001,(공유)에너지와 지속가능경영의 기초,,1,1,0,월(18:00~20:50),이론,,허은녕,84,84,0,80 (80),80,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3502.014500,001,(공유)빅데이터 캡스톤 디자인,,3,3,0,,,,한승희,8,8,0,50 (50),24,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3500.001900,001,(공유)온톨로지 및 지식 그래프,,3,3,0,,,,김홍기,0,0,0,90 (90),46,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3502.009600,001,(공유)원자력 발전공학 개론,,3,3,0,월(09:30~10:45)/월(11:00~12:15)/수(09:30~10:45)/수(11:00~12:15)/금(09:30~10:45)/금(11:00~12:15),이론/이론/이론/이론/이론/이론,38-418(무선랜제공)/38-418(무선랜제공)/38-418(무선랜제공)/38-418(무선랜제공)/38-418(무선랜제공)/38-418(무선랜제공),최성열,6,6,0,30 (30),9,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3502.001600,001,(공유)컴퓨터구조,,3,3,0,월(12:00~14:50)/화(12:00~14:50)/수(12:00~14:50),이론/이론/이론,301-103(무선랜제공)/301-103(무선랜제공)/301-103(무선랜제공),응웬트렁,4,4,0,30 (30),6,ⓔ,영어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3502.001900,001,(공유)임베디드SW,,3,3,0,화(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,301-B119/301-B119/301-B119,이우빈,2,2,0,20 (20),7,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,4학년,M3500.001300,001,(공유)인공지능시스템 설계 프로젝트,,2,0,4,월(15:00~17:50)/화(15:00~17:50)/수(15:00~17:50)/목(15:00~17:50),실습/실습/실습/실습,/ / /,이태호,1,1,0,40 (40),9,ⓒ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,2학년,M3502.003800,001,(공유)전기회로,,3,3,0,월(15:00~17:50)/화(15:00~17:50)/목(15:00~17:50),이론/이론/이론,/ /,윤정남,30,30,0,60 (60),50,ⓞ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3502.007000,001,(공유)컴퓨터처럼 생각하기,,3,3,0,화(09:00~11:50)/수(09:00~11:50)/목(09:00~11:50),이론/이론/이론,/ /,이정원,10,10,0,30 (30),20,ⓞⓒ,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,3학년,M3500.001900,002,(공유)온톨로지 및 지식 그래프,,3,3,0,,,,김홍기,16,16,0,25 (25),16,,한국어,설강
전선,사범대학,AI융합교육학과,석사,,M3449.000300,001,AI 융합교육을 위한 인문사회 콘텐츠 설계,,3,3,0,월(18:00~20:50)/화(18:00~20:50)/수(18:00~20:50)/목(18:00~20:50)/금(18:00~20:50),이론/이론/이론/이론/이론,10-102(무선랜제공)/10-102(무선랜제공)/10-102(무선랜제공)/10-102(무선랜제공)/10-102(무선랜제공),이상일,0,0,0,30 (30),0,,한국어,설강
전선,공과대학,협동과정 인공지능전공,석박사통합,0,M3309.006200,001,IoT·인공지능·빅데이터의 실무응용 연구 1,,2,1,2,월(13:00~15:50)/화(13:00~15:50)/수(13:00~15:50),이론/이론/이론,38-B105(무선랜제공)/38-B105(무선랜제공)/38-B105(무선랜제공),강현구,19,19,0,30 (30),20,,한국어,설강
