학년,이수 구분,과목 이름,학점 ,비고 
1학년,교양/기초,대학 글쓰기 1,2,
1학년,교양/기초,대학 글쓰기 2 (과학기술글쓰기),2,
1학년,교양/기초,외국어 2과목 (+TEPS 요건),3,
0학년,교양/기초,베리타스 강좌 1: 기후위기와 인류,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 데이터로 디자인하는 리더십,3,베리타스 
0학년,교양/기초,"베리타스 강좌 1: 아르스 롱가 – 과학, 음악, 문학의 만남",3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 인간과 동물,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 자유와 정의,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 별,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 불과 문명,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 동양고전으로 보는 ‘나’,3,베리타스 
0학년,교양/기초,"베리타스 강좌 1: 뇌, 기계, 진화",3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 인공지능 시대의 문화예술,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 우리 안의 민속문화,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 돌봄과 생태 위기,3,베리타스 
0학년,교양/기초,"베리타스 강좌 1: 빅 히스토리 – 우주와 지구, 그리고 인류",3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 유토피아와 디스토피아,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 학습으로 본 ‘나’와 공동체,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 노벨과학상과 인류,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 동물과 함께한 인류의 역사,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 미래,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 현대의학과 종교의 대화,3,베리타스 
0학년,교양/기초,"베리타스 강좌 1: 몸의 생태학 – 질병, 환경, 윤리",3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 도시와 예술,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 자유와 선택,3,베리타스 
0학년,교양/기초,"베리타스 강좌 1: 공존 – 환경, 사회 그리고 소통",3,베리타스 
0학년,교양/기초,"베리타스 강좌 1: 나 찾기 – 몸, 마음, 영혼",3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 스포츠로 배우는 경쟁과 협력,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 의미,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 전쟁과 평화,3,베리타스 
0학년,교양/기초,베리타스 강좌 1: 혁신의 통합적인 시각,3,베리타스 
0학년,교양/기초,경영학개론,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,공공행정의 이해,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,교육의 이해,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,국가와 시민,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,국제정치학입문,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,글로벌 이슈와 윤리적 사고,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,기업과 사회,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,남북관계와 통일의 전망,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,독일어권 문화의 이해,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,디지털시대의 영상문화와 윤리,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,라틴아메리카 문학과 사회,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,러시아인의 삶과 문화,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,미디어와 현대사회,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,민주시민과 기본적 인권,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,민주시민과 헌법,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,법학개론,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,복지국가의 이해,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,"사랑과 일, 그리고 젠더",3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,사회학의 이해,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,생활공간과 인간,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,성과 사랑의 역사,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,섹슈얼리티와 성평등,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,소비자의 선정,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,언어의 세계,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,역사 속의 전쟁과 평화,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,영화 속 세계정치,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,인공지능과 알고리즘 사회,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,"인권, NGO, 세계시민사회",3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,정치와 정치이념,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,정치학개론,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,젠더와 범죄,3,지성의 열쇠: 인간의 이해화 사회 분석 
0학년,교양/기초,젠더와 법,3,지성의 열쇠: 인간의 이해화 사회 분석 
